               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.024458,           0.0088982,            0.011243,            0.083948,              0.8748,             0.73761,             0.80897,             0.41613,            0.025344,             0.02692,             0.01352,            0.085703,          0.00097133,          0.00097133,          0.00097133
                  99,             0.02615,            0.009683,            0.012215,            0.086418,             0.72742,             0.80794,             0.79053,             0.49936,            0.027959,            0.032512,            0.014129,            0.087528,          0.00097074,          0.00097074,          0.00097074
                 100,             0.02599,           0.0094374,            0.012074,            0.084905,             0.67302,              0.7453,             0.70742,             0.47167,            0.027547,            0.035235,            0.014398,            0.088156,          0.00097015,          0.00097015,          0.00097015
                 101,            0.025596,           0.0096462,            0.012689,            0.085731,             0.64621,             0.85506,             0.71907,             0.49309,            0.026056,            0.031309,            0.014682,            0.086235,          0.00096955,          0.00096955,          0.00096955
                 102,            0.024122,           0.0090516,            0.011743,             0.08522,             0.65468,             0.91573,             0.76047,             0.48102,            0.023427,            0.027658,            0.014106,            0.082519,          0.00096895,          0.00096895,          0.00096895
                 103,              0.0232,            0.008788,            0.011326,            0.084341,               0.729,             0.77066,             0.77738,              0.4835,            0.021903,            0.024393,            0.013619,             0.08216,          0.00096834,          0.00096834,          0.00096834
                 104,            0.022355,           0.0086453,            0.012536,            0.084033,             0.69106,             0.92545,              0.7941,             0.51479,            0.022272,            0.024792,            0.012794,            0.082005,          0.00096772,          0.00096772,          0.00096772
                 105,             0.02173,           0.0086123,            0.012443,            0.083895,             0.75173,             0.85926,             0.82189,              0.5326,            0.020647,            0.024492,            0.013512,            0.080843,           0.0009671,           0.0009671,           0.0009671
                 106,            0.021292,           0.0088769,            0.013036,            0.081882,              0.7392,             0.89259,               0.853,             0.57499,            0.019821,            0.025467,            0.014157,            0.079799,          0.00096648,          0.00096648,          0.00096648
                 107,            0.021013,           0.0092238,            0.012543,            0.082385,             0.82754,             0.89948,             0.84374,             0.54283,            0.019571,            0.024456,            0.013603,            0.079206,          0.00096584,          0.00096584,          0.00096584
                 108,            0.020156,           0.0087123,            0.011215,            0.082508,             0.77346,             0.88403,             0.84512,             0.47341,             0.02081,            0.030865,            0.015772,            0.079289,           0.0009652,           0.0009652,           0.0009652
                 109,            0.019923,           0.0087337,            0.011623,            0.081628,             0.82515,             0.95762,             0.86585,             0.45729,            0.019907,            0.023643,            0.011594,            0.078631,          0.00096456,          0.00096456,          0.00096456
                 110,            0.019616,           0.0086117,            0.011672,            0.081261,             0.82515,             0.95762,             0.86585,             0.45729,            0.019907,            0.023643,            0.011594,            0.078631,          0.00096391,          0.00096391,          0.00096391
                 111,            0.023472,           0.0092788,            0.014599,             0.08176,              0.8136,             0.95121,             0.85747,             0.39638,             0.02355,            0.022482,            0.013636,            0.080239,          0.00096326,          0.00096326,          0.00096326
                 112,            0.025779,           0.0093774,            0.015963,            0.083718,              0.7491,             0.92829,             0.81527,             0.37327,            0.026451,            0.023326,            0.012066,            0.082302,           0.0009626,           0.0009626,           0.0009626
                 113,            0.027989,           0.0090392,            0.013623,            0.083307,             0.56257,             0.88591,             0.73116,             0.32511,            0.029171,            0.025215,            0.010586,            0.083764,          0.00096193,          0.00096193,          0.00096193
                 114,             0.02839,           0.0095843,            0.011597,            0.084725,             0.37274,             0.92308,             0.63542,             0.30455,            0.031578,            0.032322,             0.01657,            0.085517,          0.00096126,          0.00096126,          0.00096126
                 115,            0.025794,           0.0091928,            0.011381,            0.082414,             0.47975,             0.76129,             0.63686,              0.3254,            0.031666,            0.044009,            0.026035,            0.089373,          0.00096058,          0.00096058,          0.00096058
                 116,            0.025009,           0.0090298,            0.011914,            0.083124,             0.52352,             0.77987,             0.67627,             0.33244,            0.028172,            0.050258,            0.024047,            0.087363,           0.0009599,           0.0009599,           0.0009599
                 117,            0.023218,           0.0096221,            0.011969,            0.081334,             0.64441,             0.78733,             0.78295,             0.42779,            0.023971,            0.046162,            0.014787,            0.082787,          0.00095921,          0.00095921,          0.00095921
                 118,            0.022869,           0.0092347,            0.011253,             0.08165,             0.77778,             0.75488,             0.78278,             0.46693,            0.023407,            0.041666,            0.014003,            0.081928,          0.00095852,          0.00095852,          0.00095852
                 119,            0.022937,           0.0088222,            0.012855,            0.079937,             0.76997,              0.9255,             0.83673,             0.49913,            0.021905,            0.034939,             0.01211,            0.082116,          0.00095782,          0.00095782,          0.00095782
                 120,            0.021332,           0.0090152,            0.012209,            0.081627,             0.91623,             0.89259,             0.93371,             0.47344,            0.022872,            0.026149,            0.011794,            0.081699,          0.00095711,          0.00095711,          0.00095711
                 121,            0.020856,           0.0087446,            0.011199,             0.08029,             0.98594,             0.80355,             0.94123,             0.52085,            0.023815,            0.024244,            0.010997,            0.080526,           0.0009564,           0.0009564,           0.0009564
                 122,            0.019894,           0.0084558,            0.010818,            0.079603,             0.67544,             0.91843,             0.83071,             0.51507,            0.021251,            0.025608,            0.015684,            0.079989,          0.00095569,          0.00095569,          0.00095569
                 123,            0.021644,           0.0080551,            0.011557,            0.078562,             0.67544,             0.91843,             0.83071,             0.51507,            0.021251,            0.025608,            0.015684,            0.079989,          0.00095497,          0.00095497,          0.00095497
                 124,             0.02827,            0.008475,            0.014351,            0.078569,             0.57797,             0.90028,             0.74238,             0.39928,            0.028821,            0.026818,            0.026407,            0.080675,          0.00095424,          0.00095424,          0.00095424
                 125,            0.033962,           0.0090541,            0.014246,            0.079459,             0.57789,             0.72251,             0.62915,             0.30146,            0.033803,            0.028458,            0.028449,            0.081118,          0.00095351,          0.00095351,          0.00095351
                 126,            0.034419,           0.0085978,            0.013382,            0.080827,              0.6275,             0.78889,             0.70226,             0.31877,            0.031761,            0.031693,            0.016512,            0.080895,          0.00095277,          0.00095277,          0.00095277
                 127,            0.031315,           0.0091214,            0.010974,             0.08114,             0.84609,             0.68519,             0.83663,             0.39242,            0.028067,            0.032672,           0.0093798,             0.08071,          0.00095203,          0.00095203,          0.00095203
                 128,            0.029248,           0.0086685,            0.011151,             0.08161,             0.74566,             0.89066,              0.8676,             0.37318,            0.026371,            0.028336,             0.01012,            0.080331,          0.00095128,          0.00095128,          0.00095128
                 129,            0.027227,            0.008084,            0.011452,            0.080447,             0.91465,             0.81917,             0.91862,             0.37912,            0.027002,            0.023187,            0.010744,            0.079008,          0.00095052,          0.00095052,          0.00095052
                 130,            0.026717,           0.0085523,            0.010304,             0.07997,             0.93263,             0.87021,             0.92181,              0.3735,            0.027331,            0.023539,           0.0099644,             0.07736,          0.00094976,          0.00094976,          0.00094976
                 131,            0.028146,           0.0087131,            0.010626,             0.07997,             0.82846,             0.92593,             0.92729,             0.45803,            0.024711,            0.029194,            0.011307,            0.076142,            0.000949,            0.000949,            0.000949
                 132,            0.024827,            0.009138,            0.010165,            0.079079,             0.75775,             0.92566,             0.85448,             0.51434,              0.0235,            0.036538,            0.014177,              0.0753,          0.00094823,          0.00094823,          0.00094823
