               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.018764,           0.0044841,          0.00077966,             0.18967,              0.9105,             0.89558,             0.91894,             0.52857,            0.020078,           0.0068723,           0.0010903,              0.1905,          0.00095173,          0.00095173,          0.00095173
                  81,             0.01977,           0.0046615,          0.00097079,             0.19072,             0.87909,             0.88462,             0.91968,             0.56746,            0.019843,           0.0072694,          0.00057194,             0.19023,          0.00095052,          0.00095052,          0.00095052
                  82,            0.019332,           0.0045915,          0.00085514,                0.19,             0.86234,             0.90385,             0.92583,             0.54689,            0.018119,           0.0073261,          0.00063897,              0.1901,           0.0009493,           0.0009493,           0.0009493
                  83,            0.019971,           0.0047525,          0.00072711,             0.18883,             0.81073,             0.92308,             0.89003,             0.51332,            0.017887,           0.0083084,          0.00050428,              0.1895,          0.00094807,          0.00094807,          0.00094807
                  84,             0.02107,           0.0056233,           0.0006314,             0.19027,             0.95612,             0.77438,             0.89015,             0.49741,            0.019704,           0.0099752,          0.00074567,             0.18938,          0.00094683,          0.00094683,          0.00094683
                  85,            0.019903,           0.0052188,          0.00063129,             0.19067,             0.83712,             0.96154,             0.90044,             0.52327,             0.01848,             0.00677,          0.00047946,             0.18868,          0.00094557,          0.00094557,          0.00094557
                  86,            0.019867,           0.0056003,          0.00076979,             0.18923,             0.89435,             0.90856,             0.90693,             0.53399,            0.019702,           0.0082324,          0.00051951,             0.18783,           0.0009443,           0.0009443,           0.0009443
                  87,            0.019445,           0.0049843,          0.00070507,             0.19013,             0.91282,             0.96127,             0.98035,             0.44737,            0.019318,           0.0069558,          0.00051668,             0.18799,          0.00094301,          0.00094301,          0.00094301
                  88,             0.01873,            0.004687,          0.00065306,             0.18849,             0.82151,              0.8959,             0.83734,             0.40232,            0.022157,           0.0069615,          0.00041386,             0.18784,          0.00094171,          0.00094171,          0.00094171
                  89,            0.019049,           0.0046747,          0.00062755,             0.18862,             0.88332,             0.94231,             0.93326,             0.53613,             0.01824,           0.0073608,          0.00042092,             0.18717,           0.0009404,           0.0009404,           0.0009404
                  90,            0.018531,           0.0046913,          0.00056332,             0.18833,             0.82176,             0.43621,             0.55994,              0.3732,            0.035054,            0.028322,            0.034351,             0.19237,          0.00093907,          0.00093907,          0.00093907
                  91,            0.018334,           0.0048041,          0.00062418,             0.18738,             0.87213,             0.96154,             0.90427,             0.62749,            0.016416,           0.0064494,          0.00039427,             0.18582,          0.00093773,          0.00093773,          0.00093773
                  92,            0.018712,           0.0045601,          0.00055423,             0.18708,             0.89221,             0.95585,             0.95246,             0.54703,            0.017575,           0.0063808,          0.00045465,             0.18523,          0.00093638,          0.00093638,          0.00093638
